title,episode_url,download_url
Ep 128: Steven Pinker’s ”Rationality” Chapter 5 ”Beliefs & Evidence (Bayesian Reasoning” Remarks & Analysis,https://www.podbean.com/site/EpisodeDownload/PB127D8A4BT5D3,https://mcdn.podbean.com/mf/download/fuarve/Ch_5_Pinker_BAYES_Podcasta9k8d.mp3
Ep 127: The End of Global Order (A response).,https://www.podbean.com/site/EpisodeDownload/PB1274097DWDJI,https://mcdn.podbean.com/mf/download/zwvjeh/The_End_of_the_World77226.mp3
Ep: 126 Origins,https://www.podbean.com/site/EpisodeDownload/PB1271CF66I326,https://mcdn.podbean.com/mf/download/5mqmqv/Origins_3_podcast_version9kssg.mp3
"Ep 125: Livestreams 1, 2 & 3",https://www.podbean.com/site/EpisodeDownload/PB126B6E2RQCYP,https://mcdn.podbean.com/mf/download/z4e3fr/Livestreams_podcast_finalauhl6.mp3
Ep 124: David Deutsch’s ”The Fabric of Reality” Chapter 6 “Universality and the limits of Computation”,https://www.podbean.com/site/EpisodeDownload/PB1261A2CX9KCY,https://mcdn.podbean.com/mf/download/ctdbay/Universality_Podcasta37qj.m4a
Ep 123: Ask Me Anything 3,https://www.podbean.com/site/EpisodeDownload/PB125B8FBVAYVE,https://mcdn.podbean.com/mf/download/hng9jz/AMA_3_Final6422m.mp3
Ep 122: ”Work and Heat” - Chiara Marletto’s ”The Science of Can and Can’t” Chapter 6 Readings & Discussion.,https://www.podbean.com/site/EpisodeDownload/PB1257C5482HDJ,https://mcdn.podbean.com/mf/download/w6a65f/Episode_122_Work_and_Heat_podcastbg74p.mp3
(Episode 121) Energy,https://www.podbean.com/site/EpisodeDownload/PB1253516ZQD3M,https://mcdn.podbean.com/mf/download/hhgnmy/Substack_11_Podcastb1544.mp3
"(Episode 120) Newsletter 10: The Jubilee, Peace, Progress and Policing",https://www.podbean.com/site/EpisodeDownload/PB124150B379H6,https://mcdn.podbean.com/mf/download/qeqjxq/Newsletter_10_Substack6szjz.mp3
Ep 119: Work and Heat: An introduction to thermodynamics (a prelude to Ch 6 of ”The Science of Can & Can’t).,https://www.podbean.com/site/EpisodeDownload/PB123E6B9VMJBY,https://mcdn.podbean.com/mf/download/65pn9z/Heat_and_Work_Podcast_Versionbq987.mp3
(Ep 118: The Planetary Health Authority),https://www.podbean.com/site/EpisodeDownload/PB123204EG62KF,https://mcdn.podbean.com/mf/download/qyiu4j/Newsletter_9_Final6pnli.mp3
"(Ep 117: Heat, Work, Universality and Exams)",https://www.podbean.com/site/EpisodeDownload/PB122DA0FB9YSC,https://mcdn.podbean.com/mf/download/8k2p6a/Newsletter_8_Final93870.mp3
Ep 116: Objective Knowledge,https://www.podbean.com/site/EpisodeDownload/PB121CE45R9M6Z,https://mcdn.podbean.com/mf/download/nv7vg7/Objective_Knowledge_Podcastbo0m6.mp3
Ep 115: David Deutsch’s ”The Fabric of Reality” Chapter 5 “Virtual Reality”,https://www.podbean.com/site/EpisodeDownload/PB120FB98BF5MH,https://mcdn.podbean.com/mf/download/z7e4qt/For_Ch_5_Virtual_Reality_Podcast7plbo.mp3
(Ep 114) Newsletter 3: Manners and Misattributions,https://www.podbean.com/site/EpisodeDownload/PB12063624EKH9,https://mcdn.podbean.com/mf/download/zpwff6/Newsletter_3_Podcast_and_Newsletter9hh8c.mp3
Ep: 113 Steven Pinker’s ”Rationality” Chapter 4 ”Probability and Randomness” Remarks and Analysis,https://www.podbean.com/site/EpisodeDownload/PB1201D28YVSGZ,https://mcdn.podbean.com/mf/download/gei5q4/Chapter_4_Rationality_Probability_Podcast8bkfh.mp3
"(Ep 112) The 3Rs: Reality, Reason and Rationality. Newsletter 1",https://www.podbean.com/site/EpisodeDownload/PB11FC959V3AJB,https://mcdn.podbean.com/mf/download/qfwsj6/Newsletter_19h1lj.mp3
"Ep 111: Probability - Reality, Rationality and Risk",https://www.podbean.com/site/EpisodeDownload/PB11F056AZNC7W,https://mcdn.podbean.com/mf/download/7q7j4q/Probability_-_Realism_Rationality_and_Riskawikb.mp3
Ep 110: A Tradition of Criticism,https://www.podbean.com/site/EpisodeDownload/PB11D74BC9WTZJ,https://mcdn.podbean.com/mf/download/cx9ncu/A_tradition_of_criticism_podcast_with_music8og5d.mp3
Ep: 109 ”Objective Morality I: The Principle of Optimism”,https://www.podbean.com/site/EpisodeDownload/PB11CB954626ZK,https://mcdn.podbean.com/mf/download/czrgja/Insufficient_Knowledge_Podcast867z4.mp3
